Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Acelerar,Subjunctive,Present Perfect,haya acelerado,hayas acelerado,haya acelerado,hayamos acelerado,hayan acelerado
Acelerar,Subjunctive,Past Perfect,hubiera acelerado,hubieras acelerado,hubiera acelerado,hubiéramos acelerado,hubieran acelerado
Acelerar,Subjunctive,Future Perfect,hubiere acelerado,hubieres acelerado,hubiere acelerado,hubiéremos acelerado,hubieren acelerado
Acelerar,Imperative,Affirmative,-,acelera,acelere,aceleremos,aceleren
Acelerar,Imperative,Negative,-,no aceleres,no acelere,no aceleremos,no aceleren
Aceptar,Indicative,Present,acepto,aceptas,acepta,aceptamos,aceptan
Aceptar,Indicative,Preterite,acepté,aceptaste,aceptó,aceptamos,aceptaron
Aceptar,Indicative,Imperfect,aceptaba,aceptabas,aceptaba,aceptábamos,aceptaban
Aceptar,Indicative,Present Continuous,estoy aceptando,estás aceptando,está aceptando,estamos aceptando,están aceptando
Aceptar,Indicative,Informal Future,voy a aceptar,vas a aceptar,va a aceptar,vamos a aceptar,van a aceptar
Aceptar,Indicative,Future,aceptaré,aceptarás,aceptará,aceptaremos,aceptarán
Aceptar,Indicative,Conditional,aceptaría,aceptarías,aceptaría,aceptaríamos,aceptarían
Aceptar,Indicative,Present Perfect,he aceptado,has aceptado,ha aceptado,hemos aceptado,han aceptado
Aceptar,Indicative,Past Perfect,había aceptado,habías aceptado,había aceptado,habíamos aceptado,habían aceptado
Aceptar,Indicative,Future Perfect,habré aceptado,habrás aceptado,habrá aceptado,habremos aceptado,habrán aceptado
Aceptar,Indicative,Conditional Perfect,habría aceptado,habrías aceptado,habría aceptado,habríamos aceptado,habrían aceptado
Aceptar,Subjunctive,Present,acepte,aceptes,acepte,aceptemos,acepten
Aceptar,Subjunctive,Imperfect,aceptara,aceptaras,aceptara,aceptáramos,aceptaran
Aceptar,Subjunctive,Future,aceptare,aceptares,aceptare,aceptáremos,aceptaren
Aceptar,Subjunctive,Present Perfect,haya aceptado,hayas aceptado,haya aceptado,hayamos aceptado,hayan aceptado
Aceptar,Subjunctive,Past Perfect,hubiera aceptado,hubieras aceptado,hubiera aceptado,hubiéramos aceptado,hubieran aceptado
Aceptar,Subjunctive,Future Perfect,hubiere aceptado,hubieres aceptado,hubiere aceptado,hubiéremos aceptado,hubieren aceptado
Aceptar,Imperative,Affirmative,-,acepta,acepte,aceptemos,acepten
Aceptar,Imperative,Negative,-,no aceptes,no acepte,no aceptemos,no acepten
Acercar,Indicative,Present,acerco,acercas,acerca,acercamos,acercan
Acercar,Indicative,Preterite,acerqué,acercaste,acercó,acercamos,acercaron
Acercar,Indicative,Imperfect,acercaba,acercabas,acercaba,acercábamos,acercaban
Acercar,Indicative,Present Continuous,estoy acercando,estás acercando,está acercando,estamos acercando,están acercando
Acercar,Indicative,Informal Future,voy a acercar,vas a acercar,va a acercar,vamos a acercar,van a acercar
Acercar,Indicative,Future,acercaré,acercarás,acercará,acercaremos,acercarán
Acercar,Indicative,Conditional,acercaría,acercarías,acercaría,acercaríamos,acercarían
Acercar,Indicative,Present Perfect,he acercado,has acercado,ha acercado,hemos acercado,han acercado
