Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Apuntar,Indicative,Present,apunto,apuntas,apunta,apuntamos,apuntan
Apuntar,Indicative,Preterite,apunté,apuntaste,apuntó,apuntamos,apuntaron
Apuntar,Indicative,Imperfect,apuntaba,apuntabas,apuntaba,apuntábamos,apuntaban
Apuntar,Indicative,Present Continuous,estoy apuntando,estás apuntando,está apuntando,estamos apuntando,están apuntando
Apuntar,Indicative,Informal Future,voy a apuntar,vas a apuntar,va a apuntar,vamos a apuntar,van a apuntar
Apuntar,Indicative,Future,apuntaré,apuntarás,apuntará,apuntaremos,apuntarán
Apuntar,Indicative,Conditional,apuntaría,apuntarías,apuntaría,apuntaríamos,apuntarían
Apuntar,Indicative,Present Perfect,he apuntado,has apuntado,ha apuntado,hemos apuntado,han apuntado
Apuntar,Indicative,Past Perfect,había apuntado,habías apuntado,había apuntado,habíamos apuntado,habían apuntado
Apuntar,Indicative,Future Perfect,habré apuntado,habrás apuntado,habrá apuntado,habremos apuntado,habrán apuntado
Apuntar,Indicative,Conditional Perfect,habría apuntado,habrías apuntado,habría apuntado,habríamos apuntado,habrían apuntado
Apuntar,Subjunctive,Present,apunte,apuntes,apunte,apuntamos,apunten
Apuntar,Subjunctive,Imperfect,apuntara,apuntaras,apuntara,apuntáramos,apuntaran
Apuntar,Subjunctive,Future,apuntare,apuntares,apuntare,apuntáremos,apuntaren
Apuntar,Subjunctive,Present Perfect,haya apuntado,hayas apuntado,haya apuntado,hayamos apuntado,hayan apuntado
Apuntar,Subjunctive,Past Perfect,hubiera apuntado,hubieras apuntado,hubiera apuntado,hubiéramos apuntado,hubieran apuntado
Apuntar,Subjunctive,Future Perfect,hubiere apuntado,hubieres apuntado,hubiere apuntado,hubiéremos apuntado,hubieren apuntado
Apuntar,Imperative,Affirmative,-,apunta,apunte,apuntamos,apunten
Apuntar,Imperative,Negative,-,no apuntes,no apunte,no apuntemos,no apunten
Armar,Indicative,Present,armo,armas,arma,armamos,arman
Armar,Indicative,Preterite,armé,armaste,armó,armamos,armaron
Armar,Indicative,Imperfect,armaba,armabas,armaba,armábamos,armaban
Armar,Indicative,Present Continuous,estoy armando,estás armando,está armando,estamos armando,están armando
Armar,Indicative,Informal Future,voy a armar,vas a armar,va a armar,vamos a armar,van a armar
Armar,Indicative,Future,armaré,armarás,armará,armaremos,armarán
Armar,Indicative,Conditional,armaría,armarías,armaría,armaríamos,armarían
Armar,Indicative,Present Perfect,he armado,has armado,ha armado,hemos armado,han armado
Armar,Indicative,Past Perfect,había armado,habías armado,había armado,habíamos armado,habían armado
Armar,Indicative,Future Perfect,habré armado,habrás armado,habrá armado,habremos armado,habrán armado
Armar,Indicative,Conditional Perfect,habría armado,habrías armado,habría armado,habríamos armado,habrían armado
Armar,Subjunctive,Present,arme,armes,arme,armemos,armen
Armar,Subjunctive,Imperfect,armara,armaras,armara,armáramos,armaran
Armar,Subjunctive,Future,armare,armares,armare,armáremos,armaren
Armar,Subjunctive,Present Perfect,haya armado,hayas armado,haya armado,hayamos armado,hayan armado
Armar,Subjunctive,Past Perfect,hubiera armado,hubieras armado,hubiera armado,hubiéramos armado,hubieran armado
Armar,Subjunctive,Future Perfect,hubiere armado,hubieres armado,hubiere armado,hubiéremos armado,hubieren armado
Armar,Imperative,Affirmative,-,arma,arme,armemos,armen
Armar,Imperative,Negative,-,no armes,no arme,no armemos,no armen
Arreglar,Indicative,Present,arreglo,arreglas,arregla,arreglamos,arreglan
Arreglar,Indicative,Preterite,arreglé,arreglaste,arregló,arreglamos,arreglaron
Arreglar,Indicative,Imperfect,arreglaba,arreglabas,arreglaba,arreglábamos,arreglaban
Arreglar,Indicative,Present Continuous,estoy arreglando,estás arreglando,está arreglando,estamos arreglando,están arreglando
Arreglar,Indicative,Informal Future,voy a arreglar,vas a arreglar,va a arreglar,vamos a arreglar,van a arreglar
Arreglar,Indicative,Future,arreglaré,arreglarás,arreglará,arreglaremos,arreglarán
Arreglar,Indicative,Conditional,arreglaría,arreglarías,arreglaría,arreglaríamos,arreglarían
Arreglar,Indicative,Present Perfect,he arreglado,has arreglado,ha arreglado,hemos arreglado,han arreglado
Arreglar,Indicative,Past Perfect,había arreglado,habías arreglado,había arreglado,habíamos arreglado,habían arreglado
Arreglar,Indicative,Future Perfect,habré arreglado,habrás arreglado,habrá arreglado,habremos arreglado,habrán arreglado
Arreglar,Indicative,Conditional Perfect,habría arreglado,habrías arreglado,habría arreglado,habríamos arreglado,habrían arreglado
Arreglar,Subjunctive,Present,arregle,arregles,arregle,arreglemos,arreglen
Arreglar,Subjunctive,Imperfect,arreglara,arreglaras,arreglara,arregláramos,arreglaran
Arreglar,Subjunctive,Future,arreglare,arreglares,arreglare,arregláremos,arreglaren
Arreglar,Subjunctive,Present Perfect,haya arreglado,hayas arreglado,haya arreglado,hayamos arreglado,hayan arreglado
Arreglar,Subjunctive,Past Perfect,hubiera arreglado,hubieras arreglado,hubiera arreglado,hubiéramos arreglado,hubieran arreglado
Arreglar,Subjunctive,Future Perfect,hubiere arreglado,hubieres arreglado,hubiere arreglado,hubiéremos arreglado,hubieren arreglado
Arreglar,Imperative,Affirmative,-,arregla,arregle,arreglemos,arreglen
Arreglar,Imperative,Negative,-,no arregles,no arregle,no arreglemos,no arreglen
Arreglarse,Indicative,Present,arreglo,arreglas,arregla,arreglamos,arreglan
Arreglarse,Indicative,Preterite,arreglé,arreglaste,arregló,arreglamos,arreglaron
Arreglarse,Indicative,Imperfect,arreglaba,arreglabas,arreglaba,arreglábamos,arreglaban
Arreglarse,Indicative,Present Continuous,estoy arreglándose,estás arreglándose,está arreglándose,estamos arreglándose,están arreglándose
Arreglarse,Indicative,Informal Future,voy a arreglar,vas a arreglar,va a arreglar,vamos a arreglar,van a arreglar
Arreglarse,Indicative,Future,arreglaré,arreglarás,arreglará,arreglaremos,arreglarán
Arreglarse,Indicative,Conditional,arreglaría,arreglarías,arreglaría,arreglaríamos,arreglarían
Arreglarse,Indicative,Present Perfect,he arreglado,has arreglado,ha arreglado,hemos arreglado,han arreglado
Arreglarse,Indicative,Past Perfect,había arreglado,habías arreglado,había arreglado,habíamos arreglado,habían arreglado
Arreglarse,Indicative,Future Perfect,habré arreglado,habrás arreglado,habrá arreglado,habremos arreglado,habrán arreglado
Arreglarse,Indicative,Conditional Perfect,habría arreglado,habrías arreglado,habría arreglado,habríamos arreglado,habrían arreglado
Arreglarse,Subjunctive,Present,arregle,arregles,arregle,arreglemos,arreglen
Arreglarse,Subjunctive,Imperfect,arreglara,arreglaras,arreglara,arregláramos,arreglaran
Arreglarse,Subjunctive,Future,arreglare,arreglares,arreglare,arregláremos,arreglaren
Arreglarse,Subjunctive,Present Perfect,haya arreglado,hayas arreglado,haya arreglado,hayamos arreglado,hayan arreglado
Arreglarse,Subjunctive,Past Perfect,hubiera arreglado,hubieras arreglado,hubiera arreglado,hubiéramos arreglado,hubieran arreglado
Arreglarse,Subjunctive,Future Perfect,hubiere arreglado,hubieres arreglado,hubiere arreglado,hubiéremos arreglado,hubieren arreglado
Arreglarse,Imperative,Affirmative,-,arréglate,arrégle,arreglémonos,arréglense
Arreglarse,Imperative,Negative,-,no te arregles,no se arregle,no nos arreglemos,no se arreglen
Arrendar,Indicative,Present,arriendo,arriendas,arrienda,arrendamos,arriendan
Arrendar,Indicative,Preterite,arrendé,arrendaste,arrendó,arrendamos,arrendaron
Arrendar,Indicative,Imperfect,arrendaba,arrendabas,arrendaba,arrendábamos,arrendaban
Arrendar,Indicative,Present Continuous,estoy arrendando,estás arrendando,está arrendando,estamos arrendando,están arrendando
Arrendar,Indicative,Informal Future,voy a arrendar,vas a arrendar,va a arrendar,vamos a arrendar,van a arrendar
Arrendar,Indicative,Future,arrendaré,arrendarás,arrendará,arrendaremos,arrendarán
Arrendar,Indicative,Conditional,arrendaría,arrendarías,arrendaría,arrendaríamos,arrendarían
Arrendar,Indicative,Present Perfect,he arrendado,has arrendado,ha arrendado,hemos arrendado,han arrendado
Arrendar,Indicative,Past Perfect,había arrendado,habías arrendado,había arrendado,habíamos arrendado,habían arrendado
Arrendar,Indicative,Future Perfect,habré arrendado,habrás arrendado,habrá arrendado,habremos arrendado,habrán arrendado
Arrendar,Indicative,Conditional Perfect,habría arrendado,habrías arrendado,habría arrendado,habríamos arrendado,habrían arrendado
Arrendar,Subjunctive,Present,arriende,arriendes,arriende,arrendemos,arrienden
Arrendar,Subjunctive,Imperfect,arrendara,arrendaras,arrendara,arrendáramos,arrendaran
Arrendar,Subjunctive,Future,arrendare,arrendares,arrendare,arrendáremos,arrendaren
Arrendar,Subjunctive,Present Perfect,haya arrendado,hayas arrendado,haya arrendado,hayamos arrendado,hayan arrendado
Arrendar,Subjunctive,Past Perfect,hubiera arrendado,hubieras arrendado,hubiera arrendado,hubiéramos arrendado,hubieran arrendado
Arrendar,Subjunctive,Future Perfect,hubiere arrendado,hubieres arrendado,hubiere arrendado,hubiéremos arrendado,hubieren arrendado
Arrendar,Imperative,Affirmative,-,arrienda,arriende,arrendemos,arrienden
Arrendar,Imperative,Negative,-,no arriendes,no arriende,no arrendemos,no arrienden
Asegurar,Indicative,Present,aseguro,aseguras,asegura,aseguramos,aseguran
Asegurar,Indicative,Preterite,aseguré,aseguraste,aseguró,aseguramos,aseguraron
Asegurar,Indicative,Imperfect,aseguraba,asegurabas,aseguraba,asegurábamos,aseguraban
Asegurar,Indicative,Present Continuous,estoy asegurando,estás asegurando,está asegurando,estamos asegurando,están asegurando
Asegurar,Indicative,Informal Future,voy a asegurar,vas a asegurar,va a asegurar,vamos a asegurar,van a asegurar
Asegurar,Indicative,Future,aseguraré,asegurarás,asegurará,aseguraremos,asegurarán
Asegurar,Indicative,Conditional,aseguraría,asegurarías,aseguraría,aseguraríamos,asegurarían
Asegurar,Indicative,Present Perfect,he asegurado,has asegurado,ha asegurado,hemos asegurado,han asegurado
Asegurar,Indicative,Past Perfect,había asegurado,habías asegurado,había asegurado,habíamos asegurado,habían asegurado
Asegurar,Indicative,Future Perfect,habré asegurado,habrás asegurado,habrá asegurado,habremos asegurado,habrán asegurado
Asegurar,Indicative,Conditional Perfect,habría asegurado,habrías asegurado,habría asegurado,habríamos asegurado,habrían asegurado
Asegurar,Subjunctive,Present,asegure,asegures,asegure,aseguremos,aseguren
Asegurar,Subjunctive,Imperfect,asegurara,aseguraras,asegurara,aseguráramos,aseguraran
Asegurar,Subjunctive,Future,asegurare,asegurares,asegurare,aseguráremos,aseguraren
Asegurar,Subjunctive,Present Perfect,haya asegurado,hayas asegurado,haya asegurado,hayamos asegurado,hayan asegurado
Asegurar,Subjunctive,Past Perfect,hubiera asegurado,hubieras asegurado,hubiera asegurado,hubiéramos asegurado,hubieran asegurado
Asegurar,Subjunctive,Future Perfect,hubiere asegurado,hubieres asegurado,hubiere asegurado,hubiéremos asegurado,hubieren asegurado
Asegurar,Imperative,Affirmative,-,asegura,asegure,aseguremos,aseguren
Asegurar,Imperative,Negative,-,no asegures,no asegure,no aseguremos,no aseguren
Asegurarse,Indicative,Present,aseguro,aseguras,asegura,aseguramos,aseguran
Asegurarse,Indicative,Preterite,aseguré,aseguraste,aseguró,aseguramos,aseguraron
Asegurarse,Indicative,Imperfect,aseguraba,asegurabas,aseguraba,asegurábamos,aseguraban
Asegurarse,Indicative,Present Continuous,estoy asegurándose,estás asegurándose,está asegurándose,estamos asegurándose,están asegurándose
Asegurarse,Indicative,Informal Future,voy a asegurar,vas a asegurar,va a asegurar,vamos a asegurar,van a asegurar
Asegurarse,Indicative,Future,aseguraré,asegurarás,asegurará,aseguraremos,asegurarán
Asegurarse,Indicative,Conditional,aseguraría,asegurarías,aseguraría,aseguraríamos,asegurarían
Asegurarse,Indicative,Present Perfect,he asegurado,has asegurado,ha asegurado,hemos asegurado,han asegurado
Asegurarse,Indicative,Past Perfect,había asegurado,habías asegurado,había asegurado,habíamos asegurado,habían asegurado
Asegurarse,Indicative,Future Perfect,habré asegurado,habrás asegurado,habrá asegurado,habremos asegurado,habrán asegurado
Asegurarse,Indicative,Conditional Perfect,habría asegurado,habrías asegurado,habría asegurado,habríamos asegurado,habrían asegurado
Asegurarse,Subjunctive,Present,asegure,asegures,asegure,aseguremos,aseguren
Asegurarse,Subjunctive,Imperfect,asegurara,aseguraras,asegurara,aseguráramos,aseguraran
Asegurarse,Subjunctive,Future,asegurare,asegurares,asegurare,aseguráremos,aseguraren
Asegurarse,Subjunctive,Present Perfect,haya asegurado,hayas asegurado,haya asegurado,hayamos asegurado,hayan asegurado
Asegurarse,Subjunctive,Past Perfect,hubiera asegurado,hubieras asegurado,hubiera asegurado,hubiéramos asegurado,hubieran asegurado
Asegurarse,Subjunctive,Future Perfect,hubiere asegurado,hubieres asegurado,hubiere asegurado,hubiéremos asegurado,hubieren asegurado
Asegurarse,Imperative,Affirmative,-,asegúrate,asegúrese,asegurémonos,asegúrense
Asegurarse,Imperative,Negative,-,no te asegures,no se asegure,no nos aseguremos,no se aseguren
Asistir,Indicative,Present,asisto,asistes,asiste,asistimos,asisten
Asistir,Indicative,Preterite,asistí,asististe,asistió,asistimos,asistieron
Asistir,Indicative,Imperfect,asistía,asistías,asistía,asistíamos,asistían
Asistir,Indicative,Present Continuous,estoy asistiendo,estás asistiendo,está asistiendo,estamos asistiendo,están asistiendo
Asistir,Indicative,Informal Future,voy a asistir,vas a asistir,va a asistir,vamos a asistir,van a asistir
Asistir,Indicative,Future,asistiré,asistirás,asistirá,asistiremos,asistirán
Asistir,Indicative,Conditional,asistiría,asistirías,asistiría,asistiríamos,asistirían
Asistir,Indicative,Present Perfect,he asistido,has asistido,ha asistido,hemos asistido,han asistido
Asistir,Indicative,Past Perfect,había asistido,habías asistido,había asistido,habíamos asistido,habían asistido
Asistir,Indicative,Future Perfect,habré asistido,habrás asistido,habrá asistido,habremos asistido,habrán asistido
Asistir,Indicative,Conditional Perfect,habría asistido,habrías asistido,habría asistido,habríamos asistido,habrían asistido
Asistir,Subjunctive,Present,asista,asistas,asista,asistamos,asistan
Asistir,Subjunctive,Imperfect,asistiera,asistieras,asistiera,asistiéramos,asistieran
Asistir,Subjunctive,Future,asistiere,asistieres,asistiere,asistiéremos,asistieren
Asistir,Subjunctive,Present Perfect,haya asistido,hayas asistido,haya asistido,hayamos asistido,hayan asistido
Asistir,Subjunctive,Past Perfect,hubiera asistido,hubieras asistido,hubiera asistido,hubiéramos asistido,hubieran asistido
Asistir,Subjunctive,Future Perfect,hubiere asistido,hubieres asistido,hubiere asistido,hubiéremos asistido,hubieren asistido
Asistir,Imperative,Affirmative,-,asiste,asista,asistamos,asistan
Asistir,Imperative,Negative,-,no asistas,no asista,no asistamos,no asistan
Atender,Indicative,Present,atiendo,atiendes,atiende,atendemos,atienden
Atender,Indicative,Preterite,atendí,atendiste,atendió,atendimos,atendieron
Atender,Indicative,Imperfect,atendía,atendías,atendía,atendíamos,atendían
Atender,Indicative,Present Continuous,estoy atendiendo,estás atendiendo,está atendiendo,estamos atendiendo,están atendiendo
Atender,Indicative,Informal Future,voy a atender,vas a atender,va a atender,vamos a atender,van a atender
Atender,Indicative,Future,atenderé,atenderás,atenderá,atenderemos,atenderán
Atender,Indicative,Conditional,atendería,atenderías,atendería,atenderíamos,atenderían
Atender,Indicative,Present Perfect,he atendido,has atendido,ha atendido,hemos atendido,han atendido
Atender,Indicative,Past Perfect,había atendido,habías atendido,había atendido,habíamos atendido,habían atendido
Atender,Indicative,Future Perfect,habré atendido,habrás atendido,habrá atendido,habremos atendido,habrán atendido
Atender,Indicative,Conditional Perfect,habría atendido,habrías atendido,habría atendido,habríamos atendido,habrían atendido
Atender,Subjunctive,Present,atienda,atiendas,atienda,atendamos,atiendan
Atender,Subjunctive,Imperfect,atendiera,atendieras,atendiera,atendiéramos,atendieran
Atender,Subjunctive,Future,atendiere,atendieres,atendiere,atendiéremos,atendieren
Atender,Subjunctive,Present Perfect,haya atendido,hayas atendido,haya atendido,hayamos atendido,hayan atendido
Atender,Subjunctive,Past Perfect,hubiera atendido,hubieras atendido,hubiera atendido,hubiéramos atendido,hubieran atendido
Atender,Subjunctive,Future Perfect,hubiere atendido,hubieres atendido,hubiere atendido,hubiéremos atendido,hubieren atendido
Atender,Imperative,Affirmative,-,atiende,atienda,atendamos,atiendan
Atender,Imperative,Negative,-,no atiendas,no atienda,no atendamos,no atiendan
Aumentar,Indicative,Present,aumento,aumentas,aumenta,aumentamos,aumentan
Aumentar,Indicative,Preterite,aumenté,aumentaste,aumentó,aumentamos,aumentaron
Aumentar,Indicative,Imperfect,aumentaba,aumentabas,aumentaba,aumentábamos,aumentaban
Aumentar,Indicative,Present Continuous,estoy aumentando,estás aumentando,está aumentando,estamos aumentando,están aumentando
Aumentar,Indicative,Informal Future,voy a aumentar,vas a aumentar,va a aumentar,vamos a aumentar,van a aumentar
Aumentar,Indicative,Future,aumentaré,aumentarás,aumentará,aumentaremos,aumentarán
Aumentar,Indicative,Conditional,aumentaría,aumentarías,aumentaría,aumentaríamos,aumentarían
Aumentar,Indicative,Present Perfect,he aumentado,has aumentado,ha aumentado,hemos aumentado,han aumentado
Aumentar,Indicative,Past Perfect,había aumentado,habías aumentado,había aumentado,habíamos aumentado,habían aumentado
Aumentar,Indicative,Future Perfect,habré aumentado,habrás aumentado,habrá aumentado,habremos aumentado,habrán aumentado
Aumentar,Indicative,Conditional Perfect,habría aumentado,habrías aumentado,habría aumentado,habríamos aumentado,habrían aumentado
Aumentar,Subjunctive,Present,aumente,aumentes,aumente,aumentemos,aumenten
Aumentar,Subjunctive,Imperfect,aumentara,aumentaras,aumentara,aumentáramos,aumentaran
Aumentar,Subjunctive,Future,aumentare,aumentares,aumentare,aumentáremos,aumentaren
Aumentar,Subjunctive,Present Perfect,haya aumentado,hayas aumentado,haya aumentado,hayamos aumentado,hayan aumentado
Aumentar,Subjunctive,Past Perfect,hubiera aumentado,hubieras aumentado,hubiera aumentado,hubiéramos aumentado,hubieran aumentado
Aumentar,Subjunctive,Future Perfect,hubiere aumentado,hubieres aumentado,hubiere aumentado,hubiéremos aumentado,hubieren aumentado
Aumentar,Imperative,Affirmative,-,aumenta,aumente,aumentemos,aumenten
Aumentar,Imperative,Negative,-,no aumentes,no aumente,no aumentemos,no aumenten
Avanzar,Indicative,Present,avanzo,avanzas,avanza,avanzamos,avanzan
Avanzar,Indicative,Preterite,avancé,avanzaste,avanzó,avanzamos,avanzaron
Avanzar,Indicative,Imperfect,avanzaba,avanzabas,avanzaba,avanzábamos,avanzaban
Avanzar,Indicative,Present Continuous,estoy avanzando,estás avanzando,está avanzando,estamos avanzando,están avanzando
Avanzar,Indicative,Informal Future,voy a avanzar,vas a avanzar,va a avanzar,vamos a avanzar,van a avanzar
Avanzar,Indicative,Future,avanzaré,avanzarás,avanzará,avanzaremos,avanzarán
Avanzar,Indicative,Conditional,avanzaría,avanzarías,avanzaría,avanzaríamos,avanzarían
Avanzar,Indicative,Present Perfect,he avanzado,has avanzado,ha avanzado,hemos avanzado,han avanzado
Avanzar,Indicative,Past Perfect,había avanzado,habías avanzado,había avanzado,habíamos avanzado,habían avanzado
Avanzar,Indicative,Future Perfect,habré avanzado,habrás avanzado,habrá avanzado,habremos avanzado,habrán avanzado
Avanzar,Indicative,Conditional Perfect,habría avanzado,habrías avanzado,habría avanzado,habríamos avanzado,habrían avanzado
Avanzar,Subjunctive,Present,avance,avances,avance,avancemos,avancen
Avanzar,Subjunctive,Imperfect,avanzara,avanzaras,avanzara,avanzáramos,avanzaran
Avanzar,Subjunctive,Future,avanzare,avanzares,avanzare,avanzáremos,avanzaren
Avanzar,Subjunctive,Present Perfect,haya avanzado,hayas avanzado,haya avanzado,hayamos avanzado,hayan avanzado
Avanzar,Subjunctive,Past Perfect,hubiera avanzado,hubieras avanzado,hubiera avanzado,hubiéramos avanzado,hubieran avanzado
Avanzar,Subjunctive,Future Perfect,hubiere avanzado,hubieres avanzado,hubiere avanzado,hubiéremos avanzado,hubieren avanzado
Avanzar,Imperative,Affirmative,-,avanza,avance,avancemos,avancen
Avanzar,Imperative,Negative,-,no avances,no avance,no avancemos,no avancen
Averiguar,Indicative,Present,averiguo,averiguas,averigua,averiguamos,averiguan
Averiguar,Indicative,Preterite,averigüé,averiguaste,averiguó,averiguamos,averiguaron
Averiguar,Indicative,Imperfect,averiguaba,averiguabas,averiguaba,averiguábamos,averiguaban
Averiguar,Indicative,Present Continuous,estoy averiguando,estás averiguando,está averiguando,estamos averiguando,están averiguando
Averiguar,Indicative,Informal Future,voy a averiguar,vas a averiguar,va a averiguar,vamos a averiguar,van a averiguar
Averiguar,Indicative,Future,averiguaré,averiguarás,averiguará,averiguaremos,averiguarán
Averiguar,Indicative,Conditional,averiguaría,averiguarías,averiguaría,averiguaríamos,averiguarían
Averiguar,Indicative,Present Perfect,he averiguado,has averiguado,ha averiguado,hemos averiguado,han averiguado
Averiguar,Indicative,Past Perfect,había averiguado,habías averiguado,había averiguado,habíamos averiguado,habían averiguado
Averiguar,Indicative,Future Perfect,habré averiguado,habrás averiguado,habrá averiguado,habremos averiguado,habrán averiguado
Averiguar,Indicative,Conditional Perfect,habría averiguado,habrías averiguado,habría averiguado,habríamos averiguado,habrían averiguado
Averiguar,Subjunctive,Present,averigüe,averigües,averigüe,averigüemos,averigüen
Averiguar,Subjunctive,Imperfect,averiguara,averiguaras,averiguara,averiguáramos,averiguaran
Averiguar,Subjunctive,Future,averiguare,averiguares,averiguare,averiguáremos,averiguaren
Averiguar,Subjunctive,Present Perfect,haya averiguado,hayas averiguado,haya averiguado,hayamos averiguado,hayan averiguado
Averiguar,Subjunctive,Past Perfect,hubiera averiguado,hubieras averiguado,hubiera averiguado,hubiéramos averiguado,hubieran averiguado
Averiguar,Subjunctive,Future Perfect,hubiere averiguado,hubieres averiguado,hubiere averiguado,hubiéremos averiguado,hubieren averiguado
Averiguar,Imperative,Affirmative,-,averigua,averigüe,averigüemos,averigüen
Averiguar,Imperative,Negative,-,no averigües,no averigüe,no averigüemos,no averigüen
Ayudar,Indicative,Present,ayudo,ayudas,ayuda,ayudamos,ayudan
Ayudar,Indicative,Preterite,ayudé,ayudaste,ayudó,ayudamos,ayudaron
Ayudar,Indicative,Imperfect,ayudaba,ayudabas,ayudaba,ayudábamos,ayudaban
Ayudar,Indicative,Present Continuous,estoy ayudando,estás ayudando,está ayudando,estamos ayudando,están ayudando
Ayudar,Indicative,Informal Future,voy a ayudar,vas a ayudar,va a ayudar,vamos a ayudar,van a ayudar
Ayudar,Indicative,Future,ayudaré,ayudarás,ayudará,ayudaremos,ayudarán
Ayudar,Indicative,Conditional,ayudaría,ayudarías,ayudaría,ayudaríamos,ayudarían
Ayudar,Indicative,Present Perfect,he ayudado,has ayudado,ha ayudado,hemos ayudado,han ayudado
Ayudar,Indicative,Past Perfect,había ayudado,habías ayudado,había ayudado,habíamos ayudado,habían ayudado
Ayudar,Indicative,Future Perfect,habré ayudado,habrás ayudado,habrá ayudado,habremos ayudado,habrán ayudado
Ayudar,Indicative,Conditional Perfect,habría ayudado,habrías ayudado,habría ayudado,habríamos ayudado,habrían ayudado
Ayudar,Subjunctive,Present,ayude,ayudes,ayude,ayudemos,ayuden
Ayudar,Subjunctive,Imperfect,ayudara,ayudaras,ayudara,ayudáramos,ayudaran
Ayudar,Subjunctive,Future,ayudare,ayudares,ayudare,ayudáremos,ayudaren
Ayudar,Subjunctive,Present Perfect,haya ayudado,hayas ayudado,haya ayudado,hayamos ayudado,hayan ayudado
Ayudar,Subjunctive,Past Perfect,hubiera ayudado,hubieras ayudado,hubiera ayudado,hubiéramos ayudado,hubieran ayudado
Ayudar,Subjunctive,Future Perfect,hubiere ayudado,hubieres ayudado,hubiere ayudado,hubiéremos ayudado,hubieren ayudado
Ayudar,Imperative,Affirmative,-,ayuda,ayude,ayudemos,ayuden
Ayudar,Imperative,Negative,-,no ayudes,no ayude,no ayudemos,no ayuden
Bailar,Indicative,Present,baile,baileas,bailea,baileamos,bailean
Bailar,Indicative,Preterite,bailé,bailaste,bailó,bailamos,bailaron
Bailar,Indicative,Imperfect,bailaba,bailabas,bailaba,bailábamos,bailaban
Bailar,Indicative,Present Continuous,estoy bailando,estás bailando,está bailando,estamos bailando,están bailando
Bailar,Indicative,Informal Future,voy a bailar,vas a bailar,va a bailar,vamos a bailar,van a bailar
Bailar,Indicative,Future,bailaré,bailarás,bailará,bailaremos,bailarán
Bailar,Indicative,Conditional,bailaría,bailarías,bailaría,bailaríamos,bailarían
Bailar,Indicative,Present Perfect,he bailado,has bailado,ha bailado,hemos bailado,han bailado
Bailar,Indicative,Past Perfect,había bailado,habías bailado,había bailado,habíamos bailado,habían bailado
Bailar,Indicative,Future Perfect,habré bailado,habrás bailado,habrá bailado,habremos bailado,habrán bailado
Bailar,Indicative,Conditional Perfect,habría bailado,habrías bailado,habría bailado,habríamos bailado,habrían bailado
Bailar,Subjunctive,Present,baile,bailes,baile,bailemos,bailen
Bailar,Subjunctive,Imperfect,bailara,bailaras,bailara,bailáramos,bailaran
Bailar,Subjunctive,Future,bailare,bailares,bailare,bailáremos,bailaren
Bailar,Subjunctive,Present Perfect,haya bailado,hayas bailado,haya bailado,hayamos bailado,hayan bailado
Bailar,Subjunctive,Past Perfect,hubiera bailado,hubieras bailado,hubiera bailado,hubiéramos bailado,hubieran bailado
Bailar,Subjunctive,Future Perfect,hubiere bailado,hubieres bailado,hubiere bailado,hubiéremos bailado,hubieren bailado
Bailar,Imperative,Affirmative,-,baila,baile,bailemos,bailen
Bailar,Imperative,Negative,-,no bailes,no baile,no bailemos,no bailen
Bajar,Indicative,Present,bajo,bajas,baja,bajamos,bajan
Bajar,Indicative,Preterite,bajé,bajaste,bajó,bajamos,bajaron
Bajar,Indicative,Imperfect,bajaba,bajabas,bajaba,bajábamos,bajaban
Bajar,Indicative,Present Continuous,estoy bajando,estás bajando,está bajando,estamos bajando,están bajando
Bajar,Indicative,Informal Future,voy a bajar,vas a bajar,va a bajar,vamos a bajar,van a bajar
Bajar,Indicative,Future,bajaré,bajarás,bajará,bajaremos,bajarán
Bajar,Indicative,Conditional,bajaría,bajarías,bajaría,bajaríamos,bajarían
Bajar,Indicative,Present Perfect,he bajado,has bajado,ha bajado,hemos bajado,han bajado
Bajar,Indicative,Past Perfect,había bajado,habías bajado,había bajado,habíamos bajado,habían bajado
Bajar,Indicative,Future Perfect,habré bajado,habrás bajado,habrá bajado,habremos bajado,habrán bajado
Bajar,Indicative,Conditional Perfect,habría bajado,habrías bajado,habría bajado,habríamos bajado,habrían bajado
Bajar,Subjunctive,Present,baje,bajes,baje,bajemos,bajen
Bajar,Subjunctive,Imperfect,bajara,bajaras,bajara,bajáramos,bajaran
Bajar,Subjunctive,Future,bajare,bajares,bajare,bajáremos,bajaren
Bajar,Subjunctive,Present Perfect,haya bajado,hayas bajado,haya bajado,hayamos bajado,hayan bajado
Bajar,Subjunctive,Past Perfect,hubiera bajado,hubieras bajado,hubiera bajado,hubiéramos bajado,hubieran bajado
Bajar,Subjunctive,Future Perfect,hubiere bajado,hubieres bajado,hubiere bajado,hubiéremos bajado,hubieren bajado
Bajar,Imperative,Affirmative,-,baja,baje,bajemos,bajen
Bajar,Imperative,Negative,-,no bajes,no baje,no bajemos,no bajen
Beber,Indicative,Present,bebo,bebes,bebe,bebemos,beben
Beber,Indicative,Preterite,bebí,bebiste,bebió,bebimos,bebieron
Beber,Indicative,Imperfect,bebía,bebías,bebía,bebíamos,bebían
Beber,Indicative,Present Continuous,estoy bebiendo,estás bebiendo,está bebiendo,estamos bebiendo,están bebiendo
Beber,Indicative,Informal Future,voy a beber,vas a beber,va a beber,vamos a beber,van a beber
Beber,Indicative,Future,beberé,beberás,beberá,beberemos,beberán
